protein_id,cluster
1A32.pdb,1A32.pdb
1AOY.pdb,1AOY.pdb
1EM7.pdb_V54S,1EM7.pdb_V54S
1EM7.pdb_L7A,1EM7.pdb_V54S
1F0M.pdb,1F0M.pdb
1GB4.pdb_F53D,1GB4.pdb_F53D
1GB4.pdb_A27K,1GB4.pdb_F53D
1GJS.pdb,1GJS.pdb
1GL5.pdb,1GL5.pdb
1GYZ.pdb,1GYZ.pdb
1H8K.pdb_W36A,1H8K.pdb_W36A
1H8K.pdb_R44S,1H8K.pdb_W36A
1H92.pdb,1H92.pdb
1I2T.pdb,1I2T.pdb
1IFY.pdb,1IFY.pdb
1JIC.pdb,1JIC.pdb
P39476,1JIC.pdb
P61991,1JIC.pdb
1K1V.pdb,1K1V.pdb
1LP1.pdb,1LP1.pdb
1MJC.pdb_L43S,1MJC.pdb_L43S
1MJC.pdb_G17A,1MJC.pdb_L43S
P0A9X9,1MJC.pdb_L43S
1O6X.pdb,1O6X.pdb
1OPS.pdb_T53S,1OPS.pdb_T53S
1OPS.pdb,1OPS.pdb_T53S
1OPS.pdb_V44A,1OPS.pdb_T53S
5XR0.pdb_T53S,1OPS.pdb_T53S
1ORC.pdb,1ORC.pdb
P03040,1ORC.pdb
1PGA.pdb_V39S,1PGA.pdb_V39S
1PGA.pdb_L5A,1PGA.pdb_V39S
1PGA.pdb_L7S,1PGA.pdb_V39S
1PGA.pdb_T51A,1PGA.pdb_V39S
5UBS.pdb,1PGA.pdb_V39S
5UCE.pdb,1PGA.pdb_V39S
1PSE.pdb,1PSE.pdb
1PV0.pdb,1PV0.pdb
1QKH.pdb,1QKH.pdb
1QKX.pdb,1QKX.pdb
1BK2.pdb_F47A,1QKX.pdb
1BK2.pdb_L5S,1QKX.pdb
1E6H.pdb,1QKX.pdb
1H8K.pdb,1QKX.pdb
1PWT.pdb,1QKX.pdb
2CDT.pdb,1QKX.pdb
2LJ3.pdb,1QKX.pdb
5FWB.pdb_A10S,1QKX.pdb
5FWB.pdb_M24A,1QKX.pdb
6SCW.pdb,1QKX.pdb
1QLY.pdb,1QLY.pdb
1QP2.pdb,1QP2.pdb
1R69.pdb,1R69.pdb
1S1N.pdb_V29A,1S1N.pdb_V29A
1S1N.pdb_F11S,1S1N.pdb_V29A
1SF0.pdb_V59K,1SF0.pdb_V59K
1SRM.pdb,1SRM.pdb
1TG0.pdb,1TG0.pdb
1TUC.pdb,1TUC.pdb
2KXD.pdb,1TUC.pdb
1TUD.pdb,1TUD.pdb
1UBQ.pdb_L15S,1UBQ.pdb_L15S
1SIF.pdb_F13S,1UBQ.pdb_L15S
1SIF.pdb_L3A,1UBQ.pdb_L15S
1UBQ.pdb_I3A,1UBQ.pdb_L15S
1UBQ.pdb_L43A,1UBQ.pdb_L15S
1UBQ.pdb_L67S,1UBQ.pdb_L15S
1UCS.pdb_M59K,1UCS.pdb_M59K
1UFM.pdb,1UFM.pdb
1URF.pdb,1URF.pdb
1UZC.pdb,1UZC.pdb
1V1C.pdb,1V1C.pdb
1W4F.pdb,1W4F.pdb
1W4G.pdb,1W4F.pdb
1WCL.pdb,1WCL.pdb
1WR4.pdb,1WR4.pdb
1Y0M.pdb,1Y0M.pdb
1YEZ.pdb_V46S,1YEZ.pdb_V46S
1YP5.pdb,1YP5.pdb
1YRF.pdb,1YRF.pdb
1VII.pdb,1YRF.pdb
1ZHC.pdb,1ZHC.pdb
1ZLM.pdb,1ZLM.pdb
2AMI.pdb,2AMI.pdb
2B88.pdb_pross4,2B88.pdb_pross4
2B88.pdb,2B88.pdb_pross4
2B88.pdb_pross1,2B88.pdb_pross4
2B89.pdb,2B89.pdb
2BTT.pdb,2BTT.pdb
2CJJ.pdb,2CJJ.pdb
2D1U.pdb,2D1U.pdb
2EXD.pdb,2EXD.pdb
2GP8.pdb,2GP8.pdb
2HBB.pdb_pross7,2HBB.pdb_pross7
2HBB.pdb,2HBB.pdb_pross7
2HBB.pdb_pross4,2HBB.pdb_pross7
2HBB.pdb_pross6,2HBB.pdb_pross7
2HBB.pdb_pross9,2HBB.pdb_pross7
2JN4.pdb,2JN4.pdb
2JT1.pdb,2JT1.pdb
2RRT.pdb,2RRT.pdb
2RRU.pdb,2RRU.pdb
2RU9.pdb,2RU9.pdb
2WNM.pdb,2WNM.pdb
2WQG.pdb,2WQG.pdb
4UZW.pdb,2WQG.pdb
2WXC.pdb,2WXC.pdb
1W4H.pdb,2WXC.pdb
2BTH.pdb,2WXC.pdb
2YSB.pdb,2YSB.pdb
2YSF.pdb,2YSF.pdb
2ZW1.pdb_Y34A,2ZW1.pdb_Y34A
2ZW1.pdb_V55S,2ZW1.pdb_Y34A
3DKM.pdb,3DKM.pdb
3I35.pdb,3I35.pdb
3L1X.pdb,3L1X.pdb
3MYC.pdb,3MYC.pdb
1YU5.pdb,3MYC.pdb
2RJV.pdb,3MYC.pdb
3V1A.pdb,3V1A.pdb
3ZGK.pdb,3ZGK.pdb
4C26.pdb,4C26.pdb
4HCK.pdb,4HCK.pdb
5AHT.pdb,5AHT.pdb
5ECA.pdb_W37A,5ECA.pdb_W37A
5ECA.pdb_P51S,5ECA.pdb_W37A
5GU9.pdb_V60D,5GU9.pdb_V60D
5GU9.pdb_L66K,5GU9.pdb_V60D
5JRT.pdb,5JRT.pdb
5KPH.pdb,5KPH.pdb
5LXJ.pdb,5LXJ.pdb
5OAO.pdb,5OAO.pdb
5UP5.pdb,5UP5.pdb
5UYO.pdb,5UYO.pdb
HEEH_rd4_0097.pdb,5UYO.pdb
5VNT.pdb,5VNT.pdb
5Z2S.pdb,5Z2S.pdb
6ACV.pdb,6ACV.pdb
6EWS.pdb,6EWS.pdb
6EWT.pdb,6EWT.pdb
6EWU.pdb,6EWU.pdb
6FVC.pdb,6FVC.pdb
1ENH.pdb,6FVC.pdb
2JWT.pdb,6FVC.pdb
6IWS.pdb,6IWS.pdb
6M3N.pdb,6M3N.pdb
6NMW.pdb,6NMW.pdb
6NS8.pdb_L8K,6NS8.pdb_L8K
6OBK.pdb,6OBK.pdb
6SOW.pdb,6SOW.pdb
6YSE.pdb,6YSE.pdb
7BPM.pdb,7BPM.pdb
7JJK.pdb,7JJK.pdb
EA|run2_0290_0001.pdb,EA|run2_0290_0001.pdb
EA|run2_0325_0005.pdb,EA|run2_0325_0005.pdb
EA|run3_0321_0005.pdb,EA|run3_0321_0005.pdb
EA|run3_0525_0006.pdb,EA|run3_0525_0006.pdb
EA|run3_1140_0005.pdb,EA|run3_1140_0005.pdb
EA|run5_0050_0004.pdb,EA|run5_0050_0004.pdb
EA|run6_0680_0006.pdb,EA|run6_0680_0006.pdb
EA|run6_1429_0006.pdb,EA|run6_1429_0006.pdb
EA|run7_1025_0001.pdb,EA|run7_1025_0001.pdb
EA|run7_1572_0002.pdb,EA|run7_1572_0002.pdb
EEHEE_rd3_0019.pdb,EEHEE_rd3_0019.pdb
EEHEE_rd3_0094.pdb,EEHEE_rd3_0094.pdb
EEHEE_rd3_0130.pdb,EEHEE_rd3_0130.pdb
EEHEE_rd3_0146.pdb,EEHEE_rd3_0146.pdb
EEHEE_rd3_0602.pdb,EEHEE_rd3_0602.pdb
EEHEE_rd3_0657.pdb,EEHEE_rd3_0657.pdb
EEHEE_rd3_0809.pdb,EEHEE_rd3_0809.pdb
EEHEE_rd3_1049.pdb,EEHEE_rd3_1049.pdb
EEHEE_rd3_1367.pdb,EEHEE_rd3_1367.pdb
EEHEE_rd3_1498.pdb,EEHEE_rd3_1498.pdb
EEHEE_rd3_1587.pdb,EEHEE_rd3_1587.pdb
EEHEE_rd3_1615.pdb,EEHEE_rd3_1615.pdb
EEHEE_rd3_1702.pdb,EEHEE_rd3_1702.pdb
EEHEE_rd3_1716.pdb,EEHEE_rd3_1716.pdb
EEHEE_rd3_1810.pdb,EEHEE_rd3_1810.pdb
EEHEE_rd3_1818.pdb,EEHEE_rd3_1818.pdb
EEHEE_rd4_0003.pdb,EEHEE_rd4_0003.pdb
EEHEE_rd4_0005.pdb,EEHEE_rd4_0005.pdb
EEHEE_rd4_0256.pdb,EEHEE_rd4_0256.pdb
EEHEE_rd4_0308.pdb,EEHEE_rd4_0308.pdb
EEHEE_rd4_0363.pdb,EEHEE_rd4_0363.pdb
EEHEE_rd4_0371.pdb,EEHEE_rd4_0371.pdb
EEHEE_rd4_0469.pdb,EEHEE_rd4_0469.pdb
EEHEE_rd4_0470.pdb,EEHEE_rd4_0470.pdb
EEHEE_rd4_0481.pdb,EEHEE_rd4_0481.pdb
EEHEE_rd4_0647.pdb,EEHEE_rd4_0647.pdb
EEHEE_rd4_0763.pdb,EEHEE_rd4_0763.pdb
EEHEE_rd4_0784.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0794.pdb,EEHEE_rd4_0794.pdb
EHEE_rd1_0101.pdb,EHEE_rd1_0101.pdb
EHEE_rd1_0407.pdb,EHEE_rd1_0407.pdb
EHEE_rd1_0459.pdb,EHEE_rd1_0459.pdb
EHEE_rd2_0152.pdb,EHEE_rd2_0152.pdb
